127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 304, 0.000393
127.0.0.1, 2014-11-17 16:32:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036646
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/default/index, HTTP/1.1, 200, 0.207984
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000923
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 200, 0.000504
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 200, 0.001055
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 200, 0.001414
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 200, 0.001943
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001164
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001936
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001955
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001767
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/js/share.js, HTTP/1.1, 200, 0.000777
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002069
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 200, 0.001113
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 200, 0.000919
127.0.0.1, 2014-11-17 16:32:41, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 200, 0.000397
127.0.0.1, 2014-11-17 16:33:00, POST, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.041123
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/default/index, HTTP/1.1, 200, 0.191743
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002310
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 304, 0.000686
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 304, 0.001573
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 304, 0.001664
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 304, 0.000750
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000245
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000484
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000985
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001359
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001666
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/js/share.js, HTTP/1.1, 304, 0.000345
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 304, 0.001129
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 304, 0.000905
127.0.0.1, 2014-11-17 16:33:02, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 304, 0.000427
127.0.0.1, 2014-11-17 16:33:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.016351
127.0.0.1, 2014-11-17 16:33:40, POST, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.022337
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/default/index, HTTP/1.1, 200, 0.192769
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 304, 0.001021
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 304, 0.001684
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001901
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 304, 0.001838
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 304, 0.001208
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000213
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000522
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000672
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002843
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000615
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/static/js/share.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2014-11-17 16:33:54, GET, /sentinella/default/jquery-xdomainrequest.min.js, HTTP/1.1, 404, 0.022926
127.0.0.1, 2014-11-17 16:33:55, GET, /sentinella/default/config.js, HTTP/1.1, 404, 0.103180
127.0.0.1, 2014-11-17 16:33:55, GET, /sentinella/default/jquery-1.5.1.min.js, HTTP/1.1, 404, 0.170813
127.0.0.1, 2014-11-17 16:33:55, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 304, 0.001194
127.0.0.1, 2014-11-17 16:33:55, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 304, 0.000578
127.0.0.1, 2014-11-17 16:33:55, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 304, 0.003643
127.0.0.1, 2014-11-17 16:34:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037357
127.0.0.1, 2014-11-17 16:34:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2014-11-17 16:35:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044227
127.0.0.1, 2014-11-17 16:36:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.024405
127.0.0.1, 2014-11-17 16:37:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039696
127.0.0.1, 2014-11-17 16:38:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055390
127.0.0.1, 2014-11-17 16:39:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019929
127.0.0.1, 2014-11-17 16:40:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.020043
127.0.0.1, 2014-11-17 16:41:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022301
127.0.0.1, 2014-11-17 16:42:31, POST, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.022011
127.0.0.1, 2014-11-17 16:42:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.025634
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/default/index, HTTP/1.1, 200, 0.182712
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 200, 0.002113
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 200, 0.001081
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 200, 0.002100
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.007825
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001725
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001363
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000698
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001708
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/js/share.js, HTTP/1.1, 200, 0.001847
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/default/config.js, HTTP/1.1, 404, 0.087212
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 200, 0.001122
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 200, 0.001431
127.0.0.1, 2014-11-17 16:43:13, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 200, 0.000766
127.0.0.1, 2014-11-17 16:43:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026659
127.0.0.1, 2014-11-17 16:43:39, GET, /sentinella/default/index, HTTP/1.1, 200, 0.041619
127.0.0.1, 2014-11-17 16:43:39, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002391
127.0.0.1, 2014-11-17 16:43:39, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 200, 0.001490
